abs_time,rel_time,src_ip,dst_ip,protocol,src_port,dst_port,packet_size,ip_len,ttl,tcp_flags,tcp_flags_str,tcp_window,tcp_seq,tcp_ack,icmp_type,icmp_code,duration,src_bytes,flow_count,same_dst_count,same_srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,syn_count,fin_count,rst_count,psh_count
1773306142.6104,1.9722,192.168.93.59,192.168.93.59,6,53863,80,44,40,64,2,SYN,8192,5186,0,,,0,44,1,66,33,1,0.5,0.5,0.5,1,0,0,0
1773306142.6105,1.9723,192.168.93.59,192.168.93.59,6,80,53863,44,40,64,20,RST|ACK,0,0,5187,,,0.00011205673217773438,88,2,67,0,1,0.4925,0,1,1,0,1,0
1773306142.6107,1.9725,192.168.93.59,192.168.93.59,6,5601,80,44,40,64,2,SYN,8192,5734,0,,,0,44,1,68,34,1,0.5,0.5,0.5,1,0,0,0
1773306142.6109,1.9727,192.168.93.59,192.168.93.59,6,80,5601,44,40,64,20,RST|ACK,0,0,5735,,,0.00014519691467285156,88,2,69,0,1,0.4928,0,1,1,0,1,0
1773306142.6113,1.9731,192.168.93.59,192.168.93.59,6,9602,80,44,40,64,2,SYN,8192,5962,0,,,0,44,1,70,35,1,0.5,0.5,0.5,1,0,0,0
1773306142.6114,1.9732,192.168.93.59,192.168.93.59,6,80,9602,44,40,64,20,RST|ACK,0,0,5963,,,0.00011610984802246094,88,2,71,0,1,0.493,0,1,1,0,1,0
1773306142.6116,1.9734,192.168.93.59,192.168.93.59,6,42952,80,44,40,64,2,SYN,8192,8021,0,,,0,44,1,72,36,1,0.5,0.5,0.5,1,0,0,0
1773306142.6117,1.9735,192.168.93.59,192.168.93.59,6,80,42952,44,40,64,20,RST|ACK,0,0,8022,,,0.00011491775512695312,88,2,73,0,1,0.4932,0,1,1,0,1,0
1773306142.6119,1.9737,192.168.93.59,192.168.93.59,6,59761,80,44,40,64,2,SYN,8192,6876,0,,,0,44,1,74,37,1,0.5,0.5,0.5,1,0,0,0
1773306143,1.9738,192.168.93.59,192.168.93.59,6,80,59761,44,40,64,20,RST|ACK,0,0,6877,,,0.00011587142944335938,88,2,75,0,1,0.4933,0,1,1,0,1,0
1773306142.6122,1.974,192.168.93.59,192.168.93.59,6,63716,80,44,40,64,2,SYN,8192,6629,0,,,0,44,1,76,38,1,0.5,0.5,0.5,1,0,0,0
1773306142.6123,1.9741,192.168.93.59,192.168.93.59,6,80,63716,44,40,64,20,RST|ACK,0,0,6630,,,0.00011706352233886719,88,2,77,0,1,0.4935,0,1,1,0,1,0
1773306142.6125,1.9743,192.168.93.59,192.168.93.59,6,2313,80,44,40,64,2,SYN,8192,6197,0,,,0,44,1,78,39,1,0.5,0.5,0.5,1,0,0,0
1773306142.6126,1.9744,192.168.93.59,192.168.93.59,6,80,2313,44,40,64,20,RST|ACK,0,0,6198,,,0.00012111663818359375,88,2,79,0,1,0.4937,0,1,1,0,1,0
1773306142.6128,1.9746,192.168.93.59,192.168.93.59,6,32681,80,44,40,64,2,SYN,8192,1543,0,,,0,44,1,80,40,1,0.5,0.5,0.5,1,0,0,0
1773306142.6129,1.9747,192.168.93.59,192.168.93.59,6,80,32681,44,40,64,20,RST|ACK,0,0,1544,,,0.00012302398681640625,88,2,81,0,1,0.4938,0,1,1,0,1,0
1773306142.6131,1.9749,192.168.93.59,192.168.93.59,6,13852,80,44,40,64,2,SYN,8192,1738,0,,,0,44,1,82,41,1,0.5,0.5,0.5,1,0,0,0
1773306142.6132,1.975,192.168.93.59,192.168.93.59,6,80,13852,44,40,64,20,RST|ACK,0,0,1739,,,0.00011682510375976562,88,2,83,0,1,0.494,0,1,1,0,1,0
1773306142.6134,1.9752,192.168.93.59,192.168.93.59,6,7843,80,44,40,64,2,SYN,8192,7708,0,,,0,44,1,84,42,1,0.5,0.5,0.5,1,0,0,0
1773306142.6135,1.9753,192.168.93.59,192.168.93.59,6,80,7843,44,40,64,20,RST|ACK,0,0,7709,,,0.00011801719665527344,88,2,85,0,1,0.4941,0,1,1,0,1,0
